Names,RF_SpT,SVM_SpT,KNN_SpT,SNR,Adopted_SpT
2MASSI J0825196+211552,L7,L7,L7,113,L7
SDSS J08264265+19392195,M9,M9,M9,107,M9
2MASS J08270185+4129191,L2beta,L2beta,L2beta,73,L2beta
2MASS J08272028+4502043,M8beta,M8,M8,216,M8
2MASSW J0829066+145622,L2,L1,L1beta,87,L1beta
SDSSp J083008.12+482847.4,L9,L9,L9,77,L9
SDSS J083048.80+012831.1,T5,T5,T5,19,T5
2MASS J08315564+1025466,M8,M8,M8,71,M8
2MASSW J0832045-012835,L2beta,L2beta,L2beta,156,L2beta
WISE J083450.79+642526.1,d/sdM8,d/sdM8,d/sdM8,75,d/sdM8
2MASS J08352366+1029318,M8,M8,M8,185,M8
2MASSI J0835425-081923,L3,L3,L3beta,92,L3beta
SDSS J083557.35+431831.1,M8,M8,M8,209,M8
SDSS J08364634+0526426,M9,L0,M9,55,L0
2MASS J08391608+1253543,M8,M8,M8,141,M8
2MASS J08404912+4827404,M8beta,M8,M8beta,174,M8beta
LHS 2307,M4,M4,M4,424,M4
SDSS J08410685+6035063,L2,L2beta,L2beta,62,L2beta
SDSS J08430794+3141292,L2,L2,L2,54,L2
SDSS J08433328+1024435,L1,L1,L1,87,L1
SDSS J084403.46+043436.19,M8,M8,M8,148,M8
2MASSI J0847287-153237,L1,L1beta,L1beta,77,L1beta
SDSS J08475148+0138110,L3,L3,L3,29,L2
2MASS J08490052+0220155,M7,M7,M8beta,200,M7gamma
2MASS J08500174-1924184,M8,M8,M8,218,M8
NLTT 20346B,d/sdM4,d/sdM5,d/sdM4,258,d/sdM4
SDSS J085116.20+181730.0,L5,L5,L5,23,L5
2MASS J08514509-0005360,d/sdM8,d/sdM7,d/sdM8,32,d/sdM8
WISE J08522436+5139255,d/sdM7,d/sdM7,M7,86,d/sdM7
SDSS J085234.90+472035.0,L9,L9,L9,34,L9
2MASS J08524613-0316138,M8beta,M8,M8beta,15,M7gamma
SDSS J085834.42+325627.7,L9,L9,L9,31,L9
SDSS J08583697+2710508,L1beta,L1beta,L1beta,95,L1beta
2MASSI J0859254-194926,L8,L8,L8,82,L8
SDSS J09002368+2539343,T0,T0,T0,42,T0
SDSS J090206.90+003319.36,M7,M7,M7gamma,208,M7
2MASS J09053247+1339138,L2beta,L2beta,L2beta,16,L2beta
2MASS J09054654+5623117,L5,L5,L5,11,L5
2MASS J09083688+5526401,L1beta,L2beta,L1beta,39,L1beta
2MASSI J0908380+503208,L2,L4,L4,72,L4
SDSS J09094813+1940439,L1,L0,L0,75,L1
DENIS-P J0909-0658,L2beta,L1beta,L2beta,161,L2beta
2MASS J09140317+5228504,M8,M8,M8,54,M8
2MASS J09155650+0514212,L2beta,L2,L2,19,L2
2MASS J09162684+0628393,M8beta,M8beta,M7gamma,12,M8beta
WISE J09165718-1121047,M8,M9,M9,74,M8
2MASS J09171104-1650010,M7,d/sdM5,M7,35,M7
2MASS J09175418+6028065,L2gamma,L2gamma,L2gamma,21,L2gamma
2MASSW J0918382+213406,L6,L3,L1gamma,71,L1gamma
2MASS J09212898-0339410,d/sdM7,d/sdM7,d/sdM7,8,d/sdM5
LSPM J0923+2654,sdM4,sdM2,sdM2,23,sdM2
2MASS J09243114+2143536,M7gamma,d/sdM7,M7gamma,33,M7gamma
2MASS J09264992+5230435,M8,M8,M8,15,M8
2MASSW J0928256+423054,M8,M8,M8,259,M8
2MASSW J0928397-160312,L2,L3,L2,79,L2
2MASSW J0929336+342952,L7,L7,L7,31,L7
SDSS J093109.56+032732.5,d/sdL7,d/sdL7,d/sdL7,29,d/sdL7
SDSS J093128.22+052821.93,M7,M8,M8beta,192,M7gamma
SDSS J09323747+6725145,M9gamma,L0,M9gamma,36,M9gamma
2MASS J09334975-1602522,d/sdM7,d/sdM5,d/sdM5,72,sdM7
2MASS J09340617+0536234,d/sdM7,d/sdM5,d/sdM5,25,d/sdM5
2MASS J09351549+0019103,M6gamma,M6gamma,M6,4,M6
2MASS J09352803-2934596,L0,L1,L0,148,L0
2MASS J09384022-2748184,M8,M8,M8,75,M8
SDSS J09385888+0443439,M9,M9,M9,50,M9
BRLT 105,L5,L5,L5,39,L3
2MASS J09395909-3817217,d/sdM8,d/sdM8,d/sdM8,15,d/sdM8
SDSS J09404788+2946530,L2beta,L2beta,L2beta,36,L2beta
2MASS J0941115+425403,M6,M6,M6,18,M6
SDSS J09413492+1009421,M9,L0,M9,74,M9
SIMP J09455513-0757441,L2beta,L2beta,L2beta,21,L2beta
2MASS J09472006-0020093,M6,M6,M6,284,M6
LP 261-45,d/sdM5,d/sdM5,d/sdM5,86,M6gamma
2MASS 09474477+0224327,M8,M8,M8,157,M8
2MASS J09481259+5300387,L1beta,L1beta,L1beta,55,L1beta
LHS 2195,M8,M8,M8,207,M8
LSPM J0950+0540,esdM8,esdM6,esdM8,36,esdM8
2MASS J09524622+0620410,M7gamma,M7gamma,M7gamma,199,M7gamma
WISE J095259.29+195508.1,T6,T6,T6,4,T6
NLTT 22851A,M5,M5,M5,90,M5
NLTT 22851B,L1,L1,L0,26,L1
2MASS J09553336-0208403,L7gamma,L7,L7,19,L7
LSPM J0956+1759,sdM4,sdM4,sdM4,49,sdM4
SIMP J09560810-1447065,L9,L9,L9,33,L9
PSO J149.1907-19.1730,T0,T0,T0,39,T0
WISE J095729.41+462413.5,L7gamma,L2beta,L3beta,52,L2gamma
2MASS J09593276+4523309,L2gamma,L2gamma,L2gamma,53,L2gamma
LSPM J1002+6349,M7,M7,M7,155,M7
SDSS J100319.17-010508.15,M8beta,M8,M8beta,227,M8beta
LHS 5166B,L4,L4,L4,107,L4
LP 789-23,M8beta,M8beta,M8beta,194,M8beta
2MASS J1006406+215253,M6,M5,M6,18,M6
2MASS J10073369-4555147,T5,T6,T6,5,T6
2MASS J1008297+205714,M6,d/sdM6,d/sdM6,36,d/sdM6
WISE J100926.40+354137.5,M8,M8,M8,87,M8
2MASS J1010500+001754,M8beta,M8beta,M8beta,27,d/sdM8
2MASS J10110024+4245035,M8beta,M8,M8beta,159,M8
2MASS J1012087+030245,M7gamma,M7,M7gamma,13,d/sdM6
2MASS J10142075-4018329,M9,M9,M9,39,M9
LSPM J1017+4654,sdM4,sdM5,sdM5,65,sdM5
SDSS J10174251+4310579,L2beta,L2,L2beta,49,L2beta
WISE J101905.62+652954.2,T6,T6,T6,3,T6
2MASS 10213232-2044069,M8,M8,M8,132,M8
2MASS J10220489+0200477,M9,M9,M9,151,M9
HD 89744B,L0,L0,L1,139,L1
2MASS J10224821+5825453,L1,L2beta,L2beta,207,L2beta
2MASSI J1024099+181553,M8beta,M8beta,M8beta,103,M8beta
SDSS J102552.43+321234.0,L8,L8,L8,23,L6
DENIS1027-1820,M8,M8,M8,54,M8
SDSS J103026.78+021306.4,L9,L9,L9,25,L9
2MASS J10315064+3349595,L5,L3,L2,40,L2
SDSS J10330910+1216259,L0,L0,L0,44,L0
SDSS J103321.92+400549.5,T0,T0,T0,8,T0
SDSS J10340567+0350163,M9,M9,L0,62,L0
2MASSW J1035245+250745,L2beta,L2beta,L2beta,93,L2beta
WISE J103602.80+030615.6,L2beta,L2beta,L2beta,19,L2beta
PSO J159.0433-27.6357,L2beta,L2beta,L2beta,19,L2beta
2MASSW J1036530-344138,L9,L9,L9,48,L9
WISE J103907.73-160002.9,T7,T7,T7,2,T7
SIMP J10391406-1904471,L1beta,L1beta,L1beta,17,L2
2MASS J10430758+2225236,L8,L8,L8,32,L8
2MASS J10440642-3712425A,M5,M4,M4,66,M4
SDSS J104409.43+042937.6,L9,L9,L9,61,L5
2MASSI J1045240-014957,L2beta,L1beta,L2beta,158,L2beta
2MASS J10454932+1254541,M8,M8,M8,57,M8
TWA 36,M6,M5gamma,M6,199,M6
DENIS J104617.0-421237,d/sdL0,d/sdM8,d/sdL0,64,d/sdM8
2MASS J10461875+4441149,L4,L4,L3,45,L3
2MASS J10462067+2354307,sdM4,sdM5,sdM5,34,sdM5
2MASS J10465866-2705048,M6,M6,M8beta,124,M8beta
DENIS-P J1047-1815,L1,L1,L1,175,L1
2MASSI J1047538+212423,T6,T6,T6,20,T6
DENIS-P J1048.0-3956,M8,M8,M8,36,M8
SDSS J104829.21+091937.8,T3,T3,T3,19,T3
SDSS J104842.84+011158.5,L1,L1,L1,101,L1
SDSS J104922.45+012559.2,L5,L5,L5,59,L5
2MASS J10500694-2940273B,M4,M2,M2,220,M2
2MASS J10511900+5613086,L2beta,L2beta,L2beta,95,L2beta
SDSS J10515124+13111633,L0,L0beta,L1,57,L1
2MASS J10521678-3407458,M6,M5,M6,86,M6
2MASS J10525400+5849512,L5,L5,L5,42,L5
WISE J105257.95-194250.2,T7,T7,T7,7,T7
2MASS J10551343+2504028,L1gamma,L1,L1beta,19,L2
SDSS J105547.29+080842.64,M8,M8,M8,226,M8
1RXS J105646.7-231723,M3,M3,M3,403,M3
LEHPM 2-128,M7,d/sdM7,d/sdM7,86,M6
DENIS-P J1058.7-1548,L2,L2,L2,140,L2
2MASSI J1059513-211308,L1,L1,L1,142,L1
2MASS J10595185+3042059,T4,T4,T4,15,T4
2MASS J11000965+4957470,L6,L6,L6,81,L6
2MASS J11004384-2536159A,M4,M4,M4,242,M4
2MASS J11015433-3854233AB,M4,M4,M4,86,M4
2MASSI J1104012+195921,L4,L4,L4,98,L3
TWA 33,M9gamma,M9gamma,M9gamma,56,M9gamma
2MASS J11070582+2827226,M7,d/sdM5,M7,29,M7
2MASS J11092745-1606515,d/sdL1,d/sdL1,d/sdL1,63,d/sdL1
Gliese 413,M3,M3,M3,572,M3
SDSSp J111010.01+011613.1,T5,T6,T6,4,T5
TWA 37,d/sdM5,d/sdM5,d/sdM5,153,d/sdM5
2MASS J11122280-1502460,L1,L0,M8,14,M8
2MASS J11131089+2110086,M6,M6,d/sdM6,112,d/sdM6
DENIS J111318.7-495258,M9,M9,M9,79,M9
2MASS J11145133-2618235,T8,T8,T8,3,T8
2MASS J11150577+2520467,M7gamma,M7beta,M7gamma,42,M7gamma
2MASS J11181292-0856106,T0,T0,T0,33,T0
LSPM J1118+0941W,esdM5,esdM6,sdM6,36,esdM5
2MASS J11183695-4036426,M4,M4,M4,321,M4
2MASS J11191046+0552484,L5,L5,L5,51,L5
2MASS J11193254-1137466,L6gamma,L6gamma,L6gamma,15,L6gamma
2MASS J11205015-3852321,M4,M2,M2,254,M2
SDSS J112118.57+433246.5,d/sdL7,d/sdL7,d/sdL7,13,d/sdL7
2MASSW J1122362-391605,L3,L3,L4,44,L5
WISE J112254.72+255022.2,T6,T6,T6,4,T6
2MASS J11260310+4819256,L5,L5,L6,23,L6
DENIS J112637.2-270647,M8,L0,M8,60,M8
2MASS J11263991-5003550,d/sdL7,d/sdL7,d/sdL7,38,d/sdL7
SDSS J11264703+5816322,d/sdL1,d/sdL1,L1,49,M9gamma
2MASS J11282763+5934003,L1,L1,L1,30,L1
LP 318-218,M6,M6,M6,247,M6
2MASS J11301367+1937346,M8,M8,M8,171,M8
2MASS J11304030+1206306,M6,d/sdM6,M6,54,M6
2MASS J11323833-1446374,M7,M7,M6,21,M6
2MASS J1138399-131421,sdM4,sdM4,sdM4,6,sdM4
2MASS J11391107+0841121,M8,M8,M8,241,M8
2MASS J11394192-0310039,M9,L0,M9,93,M9
LEHPM 2-333,M8,M8,M8,223,M8
2MASS J11422679-3904244,M6,M6,M6,202,M6
LSPM J1144+1351,sdM5,sdM5,sdM5,212,sdM5
WISEA J114553.61-250657.1,sdM7,sdM7,sdM7,24,sdM7
DENIS J114651.0-475438,M8,M8,M8,29,M9
SIMP J11473434+2153590,L1beta,L2beta,L1beta,21,L1beta
2MASS J11480502+0203509,d/sdL1,d/sdL1,d/sdL1,53,d/sdL1
SDSS J11491231-0153006,M8,M8,M8,84,M8
2MASS J11494971-4012433,M8,M8,M8,46,M8
2MASS J11501322+0520124,L4,L4,L4,19,L4
DENIS J115037.9-285013,M8,M9,M8,114,M8
2MASS 11530357-2857301,d/sdM4,sdM4,d/sdM4,9,sdM4
2MASS J11532172-4013045,M2,M2,M2,126,M2
2MASS J11532691-3015414,M5,M5,M5,192,M5
2MASS J11533966+5032092,L1,L1,L1,116,L1
2MASS J11544223-3400390,L0beta,L2beta,L0beta,94,L0beta
2MASSW J1155395-372735,L2beta,L2beta,L2beta,213,L2beta
LP 851-346,M8beta,M8beta,M8beta,277,M8beta
SDSS J115553.86+055957.5,L9,L9,L9,59,L5
2MASS J1156236+021341,M7,d/sdM7,M7,38,M6
2MASS J11563426-4046530,M7,M7,M7,194,M7
DENIS-P J1157480-484442,L0,L0,L0,109,L0
2MASS J11582484+1354456,M8,L0,M8,100,M8
SDSS J11594072+5409386,L2beta,L2beta,L1beta,70,L1beta
WISE J120035.40-283657.5,T0,T0,T0,16,T0
WISE J12010457+5730042,L8,L9,L9,18,L9
2MASS J12023885+5345384,L2,L2,L2,19,L2
SDSSp J120358.19+001550.3,L4,L4,L4,123,L3
TWA 38,M8gamma,M8gamma,M8gamma,127,M8gamma
2MASSI J1204303+321259,L1,L1,L1,164,L1
LSPM J1205+1513,sdM5,sdM5,sdM5,30,sdM5
SDSS J120602.51+281328.7,T3,T3,T3,15,T3
SDSS J12061049+6242572,L2beta,L2beta,L1beta,56,L1beta
DENIS J1206501-393725,d/sdL1,L1,L1,57,L1
2MASS J12073804-3909050,L2beta,L2,L2beta,62,L2beta
2MASS J12074836-3900043,L0beta,L0beta,L0beta,44,L0beta
LP 266-16,M6,M6,M6,212,M6
2MASS J12121714-2253451,M7,d/sdM5,M7,27,M7
2MASS J12123389+0206280,L1beta,L1beta,L1beta,57,L1beta
SDSS J121440.95+631643.4,T4,T3,T3,15,T3
2MASS J12154938-0036387,M8beta,M8beta,M8beta,23,M8beta
SDSS J121659.17+300306.3,L3,L3,L3,16,L5
DENIS J121702.6-341847,M9,M9,M9,49,M8
2MASSI J1217110-031113,T7,T7,T7,5,T7
2MASS J12172372-0237369,L5,L5,L5,44,L5
2MASS J12172935+0035326,M8beta,M8beta,M8beta,151,M8beta
2MASS J12174683-3804157,M5,M5,M5,111,M5
LSPM J1218+1325,sdM4,sdM5,sdM6,27,sdM5
2MASS J12192675-2800225,M6,M4,M6,104,M6
SDSS J121951.45+312849.4,L9,L8,L8,51,L8
2MASS J12212770+0257198,L1,L1,L1,151,L1
WISE J122152.28-313600.8,T7,T7,T7,6,T7
LEHPM 2-9,M6,d/sdM7,M6,206,M6
WISE J122558.86-101345.0,T6,T6,T6,9,T6
TWA 32AB,d/sdM7,d/sdM7,d/sdM7,296,d/sdM7
2MASS J1227050-0447207,esdM8,esdM8,esdM8,41,esdM8
DENIS J122824.2-241559,L1,L1,L1,49,L1
2MASS J12304602+2827515,L3,L1,L2,8,L1gamma
DENIS J123105.9-501800,M8gamma,M8gamma,M8gamma,37,M8gamma
2MASS J12312141+4959234,L2,L2,L2,85,L2
2MASS J12314753+0847331,T5,T6,T6,26,T6
2MASS J12321827-0951502,L1,L0,M9,48,M9
LSPM J1234+2037,sdM6,sdM6,sdM6,86,sdM6
2MASS J12372934-4044510,M8,M8,M8,18,M8
2MASS J12373441+3028596,M8beta,M8beta,M8beta,156,M8
2MASS J12373919+6526148,T7,T7,T7,12,T6
DENIS J124025.0-242041,M8,L0,M8,83,M8
WISE J124135.43-245748.8,L2beta,L2beta,L2beta,34,L2beta
2MASS J12414645-2238178,M8,M9,M8,19,M8
2MASS J12425052+2357231,M9,M9,M9,63,M9
TWA 29,M9gamma,M9gamma,M9gamma,45,M9gamma
SDSS J12455566+4902109,M7beta,M7,M7gamma,34,M7gamma
DENIS J124633.5-531417,M8,M8,M8,32,M8
LHS 2632,M6beta,M6beta,M8beta,143,M8beta
2MASS J12471472-0525130,d/sdM4,d/sdM4,d/sdM4,288,d/sdM4
DENIS J124744.2-381646,M9gamma,M9,M9gamma,60,M9gamma
2MASS J12474944-1117551,M9,M9,M9,9,M9
2MASS J12490872+4157286,M9,M9,M9,52,M9gamma
2MASS J12492272+0310255,L2,L2,L2,29,L2
APMPM J1251-2121,M8beta,M8beta,M8beta,235,M8beta
TWA 34,M8gamma,M8gamma,M8gamma,36,M8gamma
2MASS J12521412+1422398,L2beta,L2beta,L2beta,37,L2beta
LSPM J1252+0252,M8beta,M8beta,M8beta,29,M8beta
2MASS J12531161+2728145,M8,M8,M8,94,M8
DENIS J125409.1-534512,M7gamma,M7gamma,M7gamma,25,M7gamma
2MASS J12542000+0009133,M4,M4,M2,138,M4
2MASS J12565688+0146163,L2,L1,L2,126,L2
WISE J125715.90+400854.2,T7,T7,T7,3,T6
SDSSp J125737.26-011336.1,L4,L5,L4,55,L4
2MASSW J1300425+191235,d/sdL1,d/sdL1,d/sdL1,85,M9gamma
2MASS J13015465-1510223,L1beta,L1beta,L2beta,114,L2beta
2MASS J13023811+5650212,L2beta,L3,L2beta,11,L2beta
GJ 499C,L5,L5,L5,88,L5
2MASS J13061727+3820296,L2beta,L0beta,L2beta,84,L2beta
WISEA J130729.56-055815.4,L5,L6,L6,29,L6
2MASS J13080147+3553169,M8,M8,M8,42,M8
2MASS J13081228+6103486,L2,L2beta,L0beta,41,L0beta
2MASS J13120700+3937440,M9,M9,M9,57,M9
DENIS J131220.3-532612,M8gamma,M8gamma,M8gamma,43,M8gamma
LSPM J1313+3322,sdM4,sdM5,sdM6,42,sdM5
SDSS J13154368+2334580,L0,L1,L0,21,L1
SIMP J13174922+0448149,L3,L2,L2,35,L2
2MASS J13184567+3626138,L4gamma,L4gamma,L4gamma,19,L4gamma
2MASS J13184794+1736117,L3gamma,L3,L3gamma,37,L3gamma
2MASS J1319369-125728,M7,d/sdM5,M7,25,M7
WISE J132004.16+603426.3,T7,T7,T7,5,T7
DENIS J132034.8-512243,M9gamma,M9,M9gamma,30,M9gamma
DENIS J132043.6-400947,L0,M9,M9,37,M9
2MASS J13204427+0409045,L2,L2,L2,65,L2
WISE J132233.64-234016.8,T7,T7,T7,3,T8
DENIS-P J1323-1806,L1,L1,L1,67,L1
PSO J201.0320+19.1072,T4,T4,T4,32,T4
LEHPM 2-167,esdM4,esdM0,esdM4,40,esdM4
2MASS J13261625+5640448,M7gamma,M7,M7gamma,34,M7gamma
2MASSW J1326201-272937,L7,L7,L7,49,L7
SDSSp J132629.82-003831.5,L7gamma,L7,L7,46,L7
2MASS J13264464+3627407,L1beta,L2,L1beta,12,L1beta
2MASS J13265350-5022260,M9,M9beta,L0,37,M9gamma
SDSS J13271521+0759375,L2beta,L2beta,L0beta,135,L0beta
2MASS J13272391+0946446,M8beta,M6beta,M8beta,41,M8beta
2MASSW J1328550+211449,L3beta,L3beta,L3beta,65,L3beta
2MASS J13313310+3407583,L1beta,L1beta,L1beta,60,L1beta
SDSS J133148.92-011651.4,T0,T0,T0,47,T0
2MASSI J1332244-044112,M8,M8,M8,101,M8
SDSS J13331279+1509566,M8,M8,M8beta,37,M8
2MASS J13331605+3744214,L5,L5,L5,38,L5
SDSS J13334536-0216002,L2beta,L2beta,L2beta,81,L2beta
SDSS J133348.24+273508.9,d/sdM9,d/sdM9,d/sdM9,14,d/sdM9
DENIS J133603.9-494449,M8,M8,M8,11,M8
2MASS J13373116+4938367,M9,M9,M9,77,M9
DENIS J133754.2-492636,M8gamma,M8gamma,M8gamma,48,M8gamma
2MASSW J1338261+414034,L2beta,L2beta,L2beta,57,L2beta
2MASS J13384944+0437315,L1beta,L1beta,L1beta,53,L1beta
2MASSW J1343167+394508,L7,L7,L7,80,L7
SIMP J13441371-1614022,L4,L4,L4,18,L9
SDSS J134525.57+521634.0,L5,L6,L5,8,L5
SDSSp J134646.45-003150.4,T6,T6,T6,12,T7
2MASS J13480100-0304328,M8beta,M8beta,M8beta,148,M8beta
WISE J134806.99+660328.4,L5,L8,L8,24,L6
2MASS J13482400-4223374,L5,L3,L2,67,L2
2MASS J13484591+0353545,L1,L1,L1,63,L1
LSPM J1351+5506,esdM7,esdM7,esdM7,43,esdM7
WISE J135307.51-085712.0,M8,d/sdM8,M8,15,M8gamma
2MASS J13544271+2150309,M8beta,M8beta,M8beta,48,M8beta
LP 220-13,M8beta,M8,M8beta,223,M8beta
2MASS J13571237+1428398,L3,L3,L3,25,L3
SDSS J13571490-1438520,M8,M8,M8,93,M8
SDSS J140023.12+433822.3,L8,L8,L8,49,L8
WISE J140035.40-385013.5,T4,T4,T4,7,T4
2MASS J14022235+0648479,M9,M9,M9,98,L0
2MASSI J1403223+300754,M8,M8,M8,149,M8
2MASS J14044495+4634297,L1,L1,L1,112,L1
SDSS J14060148+5249309,L0,L0,L0,49,L0
2MASS J14075361+1241099,L5,L5,L5,94,L5
2MASS J14090310-3357565,L1,L1,L1,98,L1
2MASSI J1411213-211950,M8,M8,M8,115,M8
2MASS J14113696+2112471,M4,M4,M4,127,M4
WISE J141144.14-140301.1,d/sdM8,d/sdM8,d/sdM8,32,d/sdM8
WISE J141143.25-452418.3,d/sdM7,d/sdM7,d/sdM5,43,d/sdM5
2MASS J14122270+2354100,M8,M8,M8,154,M8
2MASSW J1412244+163312,L1,L1,L1,155,L1
2MASS J14140586+0107102,L4,L4,L4,43,L4
SIMP J14154242+2635040,L2beta,L2beta,L2beta,21,L2beta
2MASS J14171672-0407311,d/sdM7,d/sdM5,M7,26,M7
2MASS J14182962-3538060,L2beta,L2beta,L1beta,54,L1beta
2MASS J14192618+5919047,L3,L1,L2beta,10,L2beta
2MASS 14204983-1752519,d/sdM7,d/sdM2,d/sdM4,4,d/sdM4
SDSS J14205830+2131566,d/sdL1,d/sdL1,d/sdL0,68,d/sdL0
2MASS J14211873-1618201,M8,M8,M8,209,M8
2MASSW 1421314+182740,L0,L0,L0,170,L0
GD 165B,L3,L3,L3,54,L3
DENIS-P J142527.97-365023.4,L3beta,L3,L3beta,217,L3beta
2MASS J14261286+3130394,L5,L5,L5,35,L5
NLTT 37409,esdM5,sdM4,sdM5,68,esdM4
2MASS J14283132+5923354,L3,L3,L3,111,L3
2MASS J14313097+1436539,d/sdL1,d/sdL1,d/sdL1,76,d/sdL1
WISE J14321117+3244338,L7,L7,L7,22,L7
SDSS J14324210+3451427,L1,L1,L1,72,L1
2MASS J14343616+2202463,d/sdL1,d/sdL1,d/sdL1,87,d/sdL1
2MASSI J1434582-233557,M7gamma,M7,M7gamma,168,M7gamma
SDSS J143535.72-004347.0,L2beta,L2beta,L2beta,32,L2beta
2MASS J14360977+2900350,M8,M8,M8,231,M8
2MASS J14370929-3512430,M8,M8,M8,18,M8
2MASSW J1438549-130910,L5,L3,L3,56,L3
SDSS J143933.44+031759.2,L2beta,L2beta,L2beta,44,L2beta
2MASS J14402290+1339230,M6beta,M6beta,M8beta,194,M8beta
SDSS J14403025+12333391,M9,M9,M9,91,M9
2MASS J14403186-1303263,M9,L1,M9,59,M9gamma
2MASSI J1441045+271932,M6,d/sdM7,M7gamma,121,M7gamma
2MASS J14432796+0316543,M8,M8,M8,159,M8
2MASS J14442946+0048530,M8beta,M8,M8beta,32,M8beta
LP 175-27,M8beta,M8beta,M8beta,113,M8beta
SDSSp J144600.60+002452.0,L5,L5,L5,44,L5
2MASSW J1448256+103159,L5,L5,L5,109,L5
SDSS J14505733+39204516,M8,L0,M9,11,M8
2MASS J14521846+4826214,M8,M8,M8,128,M8
SDSS J14525558+2723244,d/sdL1,d/sdL1,d/sdL1,71,d/sdL1
2MASSI J1453484+373316,M8,M8,M8,144,M8
2MASS J14554511+3843329,L2beta,L2beta,L0beta,22,L0beta
LHS 3003,M8beta,M8beta,M8beta,273,M8beta
LEHPM 2-498,M7beta,M8gamma,M8beta,153,M8beta
Gliese 570D,T8,T7,T7,7,T7
WISE J145715.03+581510.2,T7,T7,T7,4,T7
LSPM J1457+2341S,sdM7,sdM7,sdM7,32,sdM7
2MASSI J1457396+451716,M9,M9,M9,131,M9
SDSS J145919.37+060453.6,M7,M7,M7gamma,194,M7
2MASS J15004572+4219448,M9,M9,M9,86,M9
SIMP J15014711-1831272,M9,L0,M9,30,L0
WISE J150406.66-455223.9,L9,L9,L9,12,L6
LP 859-1,M8beta,M8beta,M8beta,69,M8beta
PSO J226.2599-28.8959,T1,T1,T1,34,T1
2MASSW J1507476-162738,L4,L2,L4,25,L4
2MASS J15102256-1147125,L2beta,L4,L2beta,30,L2
SDSS J15102955+36194699,M9,M9,M9,97,M9
2MASS J15104761-2818234,M9gamma,M9,M9gamma,35,M9gamma
2MASS J15111091+4340363,L6,L6,L6,35,L6
2MASS J15123329-1032414,M8,M8,M8,176,M8
SDSS J15124067+3403501,L1,L1,L0gamma,94,L1gamma
WISE J151314.61+401935.6,L8,L8,L8,16,L8
2MASS J15141384+1201451,M8,M8,M8,56,M8
2MASSW J1515008+484742,L9,L4,L4,48,L4
SDSS J151506.11+443648.3,L7,L7,L7,40,L7
2MASS J15163838+3333576,L2beta,L2beta,L2beta,28,L1beta
SDSS J151643.01+305344.4,L9,L9,L9,24,L9
LSPM J1518+2238,d/sdM7,d/sdM6,M6gamma,73,d/sdM4
2MASS J15201746-1755307,M8gamma,M8,M8beta,43,M8
SDSS J152039.82+354619.8,L9,L9,L9,78,L9
2MASSI J1521010+505323,M8,M8,M8,275,M8
SDSS J152103.24+013142.7,T3,T3,T3,18,T3
2MASS J15214616-2713031,sdM5,sdM4,sdM5,166,sdM5
2MASS J15230657-2347526,L0,L1,L1,89,L1
Gliese 584C,L8,L8,L8,34,L8
2MASSI J1526140+204341,L5,L5,L5,65,L5
LSPM J1528+2221,sdM4,sdM4,sdM4,43,sdM4
WISE J152915.47-451348.2,esdM0,esdM0,esdM0,78,esdM0
2MASS J15293306+6730215,L0,M9,L0,11,M9
SDSS J153012.87+514717.1,M9,M9,M9,82,M9
ULAS J153108.89+060111.1,L1,L1,L1,33,L1
2MASS J1531134+164128,L1gamma,L1gamma,L1gamma,33,L1gamma
WISE J15335852+4757069,L7,L7,L7,19,L7
2MASS J15341068+0426410,L0,L0,L0,13,L0
SDSS J153453.33+121949.2,L5,L5,L5,85,L5
2MASS J15345700-1418480,M8,M8,M8,203,M8
SDSS J15361914+33051510,M8beta,M6beta,M8beta,137,M8beta
2MASS J15382417-1953116,L4gamma,L4gamma,L4gamma,29,L4gamma
LSPM J1538+2245,sdM2,sdM2,sdM2,37,sdM2
2MASS J15392137+6502364,L2beta,L2beta,L2beta,63,L2beta
J15400497+0102070,M9,L0,M9,61,M9
SDSS J154009.36+374230.3,L9,L9,L9,40,L9
2MASS J15404341-5101357,M6,M6,M6,268,M6
WISE J154047.01-050658.4,sdM4,sdM4,sdM4,381,sdM4
2MASS J15412408+5425598,d/sdM5,d/sdM5,d/sdM5,42,M6gamma
2MASS J15420830-2621138,M8gamma,M6beta,d/sdM6,95,M8beta
2MASS J15422494+5522451,L3,L3,L3,32,L3
2MASS J15423630-0045452,d/sdL1,d/sdL7,d/sdL7,21,d/sdL7
2MASS J15433947-2535549,L0beta,L0beta,L2beta,42,L2beta
VHS J154352.78-043909.6,T5,T5,T5,4,T5
2MASS J15442275-2136092,M8beta,M8beta,M8beta,67,M8beta
2MASS J15442544+0750572,L2,L2,L2,28,L2
SDSS J154455.1+330145.2,L4,L4,L4,70,L4
LEHPM 2-287,M8beta,M8,M8beta,133,M8beta
2MASS J15461461+4932114,T3,T3,T3,23,T3
2MASS J15462718-3325111,T5,T5,T5,15,T5
SDSS J154727.23+033636.3,L1,L1,L2,50,L2
2MASS J15474719-2423493,M9,M9,M9,90,M9gamma
SDSS J154849.02+172235.4,L5,L5,L5,28,L5
2MASS J15485834-1636018,M9,M9,M9,159,M9
2MASS J15490803-2839550,M6,M6,M6,126,M6
2MASS J15492909-2815384,M6,M6,M6,208,M6
2MASS J15493660-2815141,M6,d/sdM6,M6,131,M6
