Names,RF_SpT,SVM_SpT,KNN_SpT,SNR,Adopted_SpT
2MASSW J0015447+351603,L2,L1,L2,161,L2
SDSS J001608.44-004302.3,L6,L6,L6,56,L6
2MASS J00163761+3448368,M8,M8,M8,63,M8
WISE J00164397+2304265,T0,T0,T0,25,T0
2MASS J00165953-4056541,L3gamma,L3,L3gamma,73,L3gamma
LSPM J0018+2853,sdM6,sdM6,esdM5,37,sdM6
PSO J004.7148+51.8918,L6gamma,d/sdL7,L7,24,L6gamma
SDSS J001911.65+003017.8,L2beta,L2beta,L2beta,90,L2beta
2MASS J00193927-3724392,L6,L3,L1gamma,27,L3
2MASS J0019457+521317,M8,M8,M8,102,M8
DENIS-P J0020.9-4414,M9,L0,M9,38,M9gamma
LEHPM 1-494B,L0,L1,L1,101,L1
SDSS J00220934-0110397,M8gamma,M8,M8,68,M8
2MASS J00234750-3239250,M7gamma,M6beta,M7gamma,170,M7gamma
DY Psc,L1,L1,L1,216,L1
2MASS J00264045+0632151,L1,L1,L1,95,L1
2MASS J00265329-0936267,M9,M9,L0,49,L0
PC 0025+04,M9gamma,M9,M9gamma,53,M9gamma
LP 349-25A,M8beta,M8beta,M8beta,105,M8beta
2MASS J0028208+224905,L6,L6,L6,32,L6
2MASSI J0028394+150141,L3gamma,L2beta,L2gamma,49,L2gamma
2MASS J00285545-1927165,L2beta,L2beta,L2beta,66,L1
2MASSW J0030300-145033,L7,L7,L7,45,L7
2MASSW J0030438+313932,L2beta,L2,L0beta,66,L2
SIPS J0031-3840,d/sdL1,L1,L1,72,L1
2MASS J00320509+0219017,L1beta,L1beta,L1beta,162,L1beta
2MASSI J0032431-223727,M9,L0,M9,67,M8
EROS-MP J0032-4405,L0beta,L2beta,L2beta,94,L1beta
SDSSp J003259.36+141036.6,L9,L9,L9,35,L9
2MASS J00332386-1521309,L1,L1beta,L1beta,72,L2
WISEA J003338.45+282732.4,d/sdL7,L7,d/sdL7,45,d/sdL7
2MASSI J0034568-070601,L6,L6,L6,77,L6
LSPM J0035+3934,sdM7,sdM6,sdM7,91,sdM7
SDSS J003609.26+241343.3,L6,L6,L6,5,L8
SDSS J003843.99+134339.5,L1,L1,L1,65,L1
HD 3651B,T8,T8,T8,5,T8
WISE J004024.88+090054.8,T7,T7,T7,9,T7
SDSS J004154.54+134135.5,L1,L1,L1,65,L1
2MASS J00440332+0228112,L2gamma,L2gamma,L2gamma,33,L2gamma
WISE J00440339+0228106,L4gamma,L2gamma,L2gamma,21,L2gamma
2MASS J00451330+1228538,M9,M8,M9,40,M9
2MASSW J0045214+163445,L3gamma,L1gamma,L1gamma,97,L1gamma
2MASS J00452972+4237438,L0beta,L1beta,L1beta,30,L1beta
WISE J004542.56+361139.1,T5,T5,T5,18,T5
2MASS J00464841+0715177,M9gamma,M9gamma,M9gamma,145,M9gamma
WISEP J004701.06+680352.1,L6gamma,L6gamma,L6gamma,64,L6gamma
WISE J004928.48+044059.9,L9,L9,L9,51,L9
WISE J004945.61+215120.0,T9,T9,T9,5,T9
2MASS J00501771+1012528,L1gamma,L1gamma,L1gamma,43,L1gamma
2MASS J00501994-3322402,T7,T7,T7,8,T7
2MASSW J0051107-154417,L3gamma,L6,L6,98,L6
2MASS J00512263-2251317,d/sdM7,M8,d/sdM8,160,M7gamma
2MASS J00521232+0012172,L4,L4,L4,22,L2beta
NLTT 2914,esdM2,esdM2,esdM4,18,esdM5
2MASS J00531899-3631102,L2,L2,L3,109,L3
SDSSp J005406.55-003101.8,L1,L1,L1,74,L1
2MASS J00550460-3052000,M8,M8,M8beta,256,M8
2MASS J00550564+0134365,L3gamma,L3gamma,L3beta,52,L4gamma
SDSS J00570556-0846241,M9,L0,M9,62,M9gamma
2MASSW J0058425-065123,L2beta,L0beta,L2beta,154,L2beta
2MASS J01001471-0301494,L2beta,L2beta,L2beta,31,L2beta
WISEA J010202.11+035541.4,L9,L9,L9,19,L9
2MASS J01030790+450929,L0,L0,L0,204,L0
SIMP J01031050+1940463,M9,M8,M8,23,M8
SDSS J010311.51-004417.0,M8,M8,M8,123,M8
2MASSI J0104075-005328,T0,L4,L2beta,29,L2beta
2MASS J01045111-3327380,M8,M8,M8,27,M8
SDSS J01071600-1517570,M7beta,M7beta,M8beta,197,M8beta
WISE J01073875-1314137,L3gamma,L2gamma,L2gamma,7,L2gamma
SDSSp J010752.33+004156.1,L7gamma,L7,L7,90,L7
SDSS J01084048+1347392,M9gamma,M9,M9,50,M9gamma
2MASS J01090751+0625590,L1,L1,L1,119,L1
SSSPM J0109-4955,M8,M8,M8,81,M8beta
2MASS J01092170+2949255,M9,L0,M9,158,L0
